delay_mean,delay_stdev,num,phase
6.19350958718029e-08,7.03235069645017e-11,500.0,139
6.20335258067078e-08,6.97650092982162e-11,500.0,140
6.21759062941264e-08,6.64414038962977e-11,500.0,141
6.22724622288671e-08,7.06848370379391e-11,500.0,142
6.24216290899434e-08,6.98483367053647e-11,500.0,143
6.25167329916661e-08,6.71118601046852e-11,500.0,144
6.26315440198976e-08,6.90596606085037e-11,500.0,145
6.27454710675975e-08,6.96369153123162e-11,500.0,146
6.2861524329415e-08,7.27737141848741e-11,500.0,147
6.29601647424954e-08,6.77887637805931e-11,500.0,148
6.30610482919589e-08,6.99191686090004e-11,500.0,149
6.30469995321001e-08,6.88163648355988e-11,500.0,150
6.31393696550989e-08,6.83873361731172e-11,500.0,151
6.32523637376577e-08,6.94144549793199e-11,500.0,152
6.33616854503396e-08,7.01475026970872e-11,500.0,153
6.34768447003269e-08,7.01102361575412e-11,500.0,154
6.35600646225165e-08,6.77288739499695e-11,500.0,155
6.36811867393301e-08,7.08791607858626e-11,500.0,156
6.38073691768547e-08,7.01005211637601e-11,500.0,157
6.39166044244487e-08,6.86516906471777e-11,500.0,158
6.4049667308455e-08,6.86080350572139e-11,500.0,159
6.41690140802085e-08,6.90002576044109e-11,500.0,160
6.42849016752267e-08,6.88726124224196e-11,500.0,161
6.43968596144684e-08,7.24261238460031e-11,500.0,162
6.44840970800429e-08,7.13093061099077e-11,500.0,163
6.45836997445186e-08,6.97918411342101e-11,500.0,164
6.4578491314408e-08,7.23289242692034e-11,500.0,165
6.46739172551959e-08,6.86065300393303e-11,500.0,166
6.48001073850122e-08,6.73756622742975e-11,500.0,167
6.49066248877649e-08,7.07061098333966e-11,500.0,168
6.50092065409439e-08,6.78216919084965e-11,500.0,169
6.51051080354142e-08,7.02445828360796e-11,500.0,170
6.5216633566789e-08,6.78395361981472e-11,500.0,171
6.53210575711019e-08,6.53393702368706e-11,500.0,172
6.54486350380337e-08,6.73704509293289e-11,500.0,173
6.55501316617824e-08,6.88039053173812e-11,500.0,174
6.57008810078031e-08,7.24544393993593e-11,500.0,175
6.58180252453867e-08,7.0781688801496e-11,500.0,176
6.59394280225272e-08,6.70929156023379e-11,500.0,177
6.60166429795334e-08,7.16324223117342e-11,500.0,178
6.61038138217124e-08,6.68763971219959e-11,500.0,179
6.61014376200838e-08,6.89626379742277e-11,500.0,180
6.62076625182109e-08,7.46955166177737e-11,500.0,181
6.63424488904234e-08,7.17772374563052e-11,500.0,182
6.64733523716737e-08,6.98471192619609e-11,500.0,183
6.65854851642512e-08,7.16608039235436e-11,500.0,184
6.66738923365895e-08,7.08172997635914e-11,500.0,185
6.6803067728625e-08,6.74227177900108e-11,500.0,186
6.69060834967352e-08,7.36976748747247e-11,500.0,187
6.70195531643911e-08,6.87629495463932e-11,500.0,188
6.71304916376626e-08,6.72069034253934e-11,500.0,189
6.72489205232117e-08,7.00211478448394e-11,500.0,190
6.74093616243409e-08,6.99581556581439e-11,500.0,191
6.75325804935842e-08,6.85183963749212e-11,500.0,192
6.76167256149345e-08,6.84298305949793e-11,500.0,193
