tofpet_id,channel,tac,a,b,c,d,x0,chi2,dof
0,13,1,0.00015546317847695606,0.11633462876175123,26.806332740621112,354.91193206257157,138.7492741852842,4119.1038918695285,2995
0,13,2,0.00015302023518257382,0.11588775838216286,26.887281496221895,354.89680216684377,139.0683216720697,4403.5745015101365,2995
0,13,3,0.00015419507900467342,0.11591067938756167,26.73051862091811,355.0302724710063,139.7379991154823,4380.848968724946,2994
0,14,0,0.00014141044737101327,0.11638102700644637,29.801272012724482,386.20663851729705,137.14758151802477,4158.704829456679,2995
0,14,1,0.00014133843230415563,0.11602075386992199,29.745479496688105,385.7451816492063,137.57117300222734,4274.3002165181315,2995
0,14,2,0.0001400534092363153,0.11564915150470084,29.81757402902921,385.78973665631855,137.85196816073616,4117.848389637696,2996
0,14,3,0.0001340740458035783,0.11468867475282513,30.061012781731133,386.1239426610732,138.44308629384997,4227.099041038325,2995
0,15,0,0.00020225420131668857,0.12934428083898986,29.03726733579186,388.9836862625669,124.61207733766918,4779.54687208386,3072
0,15,1,0.00019905414233932554,0.12852599166699183,29.116143831955444,388.24628342550466,124.9769829211023,4642.156891197348,3072
0,15,2,0.00019569133258155754,0.12810547799384453,29.260137895832724,388.4199307720781,125.06624279011442,4815.23435115898,3071
0,15,3,0.00019518944938338295,0.12812691659083056,29.098782902879194,388.6812045863333,125.75865928016933,4939.861288700283,3070
0,16,0,0.00027342094133933273,0.14789949979972888,23.80095066601415,326.1543945266073,109.84282636419023,3226.918435093338,3145
0,16,1,0.00026675257013470684,0.14747288938858796,23.84664090510845,326.0892321487366,110.18409814355536,3326.852841683257,3146
0,16,2,0.0002623272783736647,0.14600399652039484,24.08699592684364,326.1124648148141,110.31903672016873,3463.3978373250434,3145
0,16,3,0.00026397900691181,0.14618308499500565,23.91743176180165,326.31116282905197,110.87149411325544,3282.89195713179,3146
0,17,0,0.00020150383482799003,0.13168664209065997,27.359163282033975,380.2846936925041,125.87349604595776,3415.5060644154623,3071
0,17,1,0.00019520364453904295,0.13035931073386198,27.6413994754771,379.96955034070794,126.09914121822055,2998.7494832753605,3070
0,17,2,0.00019211317161193936,0.13011420729826637,27.680637073145544,379.8198933714743,126.31012553024047,3352.311664628453,3071
0,17,3,0.00019616921754327368,0.13065497775114923,27.350409661063598,380.00149692060904,126.99060247208256,3193.9724551986483,3071
0,18,0,0.00026920818182721794,0.14912086450857898,27.036013262436416,370.09412311920374,110.26158657969464,3804.236227721617,3145
0,18,1,0.00027240020908022764,0.14917717860375257,26.840843493588864,369.75709950132614,110.66805837860215,3732.7314072663476,3145
0,18,2,0.000273465166359906,0.15000195066916588,26.66427669593429,369.8609841621257,110.8664875810352,3732.238823008748,3146
0,18,3,0.00027100209458499614,0.14908917679135927,26.715925426859247,370.0792837948037,111.36868423233786,3722.454955072958,3145
0,19,0,0.00014594025671140832,0.11854652370344478,29.81866573927185,388.39555795336764,134.94425966044494,4040.310084701422,2996
0,19,1,0.00014385902937197524,0.11819861443414635,29.857497762427638,388.0489488212182,135.26841377388482,4204.422287172243,2996
0,19,2,0.0001397078933922034,0.1169053603814305,30.224165751860564,387.97239260205953,135.361734007656,4038.6186885368247,2995
0,19,3,0.00014128798310368256,0.11667347095409009,30.061286318690364,388.0364120706984,136.10911922327963,4101.780119480141,2995
0,20,0,0.00023525139873292844,0.13242947177919717,23.23225131343461,340.783045557085,131.48198809443159,3068.48590861865,2995
0,20,1,0.00022482789006055386,0.1309054256852039,23.54988064811396,340.5812090650831,131.77640174160285,3245.0033487045957,2997
0,20,2,0.00022896522219822559,0.13108673824864395,23.414988548604796,340.31063988167045,132.00188996962626,3133.0970215554444,2995
0,20,3,0.00023218270266617977,0.13129129245044013,23.20627973921012,340.46639439300833,132.68168694159203,3125.48313010347,2995
0,21,0,0.00018051200545483642,0.12132514738454225,28.386622439845834,386.2834078328376,135.5422118000045,4219.790196917704,2996
0,21,1,0.00017707859383509435,0.12042274744791759,28.558301347849113,385.9252456856587,135.8315142775113,4248.708304443049,2995
0,21,2,0.0001698042767074227,0.11995521906900243,28.77755436468513,385.87272428691665,136.04113740580596,4195.272663142134,2995
0,21,3,0.00017581931137863026,0.1208460723380388,28.2849977087861,386.04786197931736,136.77966358786327,4164.910313114453,2996
0,22,0,0.00015920848989537905,0.1134961700115325,25.838455865754135,365.602504685154,148.42139095030404,5108.814641548923,2921
0,22,1,0.00015320873780154257,0.11237741570242663,26.133085047639582,365.5531647226222,148.73675582310082,5271.999331773044,2920
0,22,2,0.00015337975157620623,0.11291954113337567,25.974824670131657,365.4699039608739,148.98211577214195,5092.879452043959,2922
0,22,3,0.0001522163679020539,0.11166854014194047,26.098282641358487,365.66148621538,149.81768474295376,5077.966994511655,2922
0,23,0,0.00014584513054562593,0.11758221840012545,29.54337184579389,378.3490418463104,135.0218367544488,4261.023557691338,2996
0,23,1,0.00014586406459097753,0.11616345470241543,29.754428563816166,378.07376412630265,135.4788963076769,4546.845118875386,2996
0,23,2,0.0001402944593348728,0.11551297107655799,29.996812633270213,377.9708135374119,135.61770478826327,4472.239943492738,2995
0,23,3,0.00014009005085684878,0.11516077408005247,29.925607055253927,378.20461540722863,136.27554533516778,4595.564344927973,2995
0,24,0,0.00022863816582952473,0.13456407251133862,24.66369808303822,347.53577079640365,124.55451220231912,3200.6299294411465,3070
0,24,1,0.00022274688327165063,0.13372130543668093,24.81577566647723,347.1917146643333,124.78879336479174,3039.669345153624,3071
0,24,2,0.00021767883956388853,0.13292937066435728,24.98656934235897,347.1619713329903,124.99182659452978,3160.5635183481145,3070
0,24,3,0.0002198964102571977,0.1330451330546025,24.802018899054815,347.3171229693761,125.57939893053158,3178.967297719265,3071
0,25,0,0.00034194960589223116,0.14538697097417083,23.966070740003744,350.9116950571043,116.27004618627831,10352.386037773114,3145
0,25,1,0.0003450946715431833,0.14576371342234745,23.786533762973562,350.76620214385036,116.65076351849338,10371.25997024862,3135
0,25,2,0.00034640736092440843,0.145288564156084,23.788136120467648,350.6578048656337,116.85083496469623,10202.673602869072,3131
0,25,3,0.0003684075038550069,0.14659226007492965,23.21877016674249,350.8175036156458,117.61734933869774,9106.954873429302,3116
0,26,0,0.00021863910871495522,0.14242188303096515,25.112712590135665,342.0112211480214,115.66215252122657,3075.24912226606,3145
0,26,1,0.00021906590957307328,0.14219218848619417,25.03822556551284,341.4857845463447,115.97057180047116,3244.4166079592933,3141
0,26,2,0.0002142264511163325,0.14182695356742867,25.15105399980435,341.77872824817837,116.19812739810014,3228.3458248079223,3136
0,26,3,0.0002182062927319173,0.14163983123746646,24.983879290760417,341.7645700257319,116.7936240249677,3203.4357431931435,3125
0,27,0,0.0002804059764354059,0.14809811146296425,25.4904754241153,362.5373247517255,113.65507117159262,3911.0271914758546,3147
0,27,1,0.0002722783663642179,0.1469067870714891,25.689248313767646,362.41084227621855,113.9497106267101,4091.734663441819,3148
0,27,2,0.00027347192086706284,0.1472172324371347,25.56655227276241,362.3057595784788,114.21137502283402,4213.866932832234,3146
0,27,3,0.00026387337656013596,0.14639657087227564,25.70787915497667,362.50080514702825,114.664392293726,4314.692109114752,3145
0,28,0,0.00028978779963658276,0.14077297309593892,22.47050901746996,338.169739061613,123.9091070709409,4226.52790994721,3070
0,28,1,0.0002891876306438326,0.14112988290828643,22.29585246710045,337.6313541223601,124.35314023098171,4475.099557917731,3071
0,28,2,0.000286668530249801,0.14026274999503072,22.416119887973647,337.8479646441584,124.57024293482633,4501.928905502552,3070
0,28,3,0.0002759453071857929,0.1383306057137549,22.716445610364097,337.98074853342195,125.10649665855364,4560.187639698701,3070
0,29,0,0.000228997395259936,0.13115355425232167,26.226291609394366,377.24541657844713,130.55007611564193,3883.3481317645405,2996
0,29,1,0.00023019460044011673,0.13120407424591385,26.11817023742404,376.9580574270696,130.8176655328505,3893.0914352169857,2995
0,29,2,0.0002279792444760693,0.1307246600020318,26.197302892663473,377.1671172862217,131.11512408709103,3851.0470634706253,2996
0,29,3,0.00022593306129234863,0.1306360407609343,26.123337667377204,377.0730807992133,131.6084091819037,3734.773932569505,2999
0,30,0,0.00017710186003385821,0.1206625525408949,26.26535754292197,370.9923176199366,141.12741304760212,4729.837887520083,2995
0,30,1,0.00016886283612209022,0.11923367385513652,26.599054084147884,371.09808148111233,141.60976941445517,4757.45883314907,2995
0,30,2,0.00017189160682856843,0.11934443675428581,26.455139696500467,370.84459742527144,141.83847444738117,4697.117078889888,2996
0,30,3,0.00016958136830537735,0.11814148531452201,26.61269999425803,370.9059571328382,142.52240359137193,5162.920207998902,2983
0,31,0,0.0003236442175051649,0.1374666562735718,23.86287093353773,382.8648203838236,132.38421579735675,4578.50040366247,2997
